m,c,error
1.48,19.58,13.762199
1.48,19.59,13.758742
1.48,19.6,13.755291
1.48,19.61,13.751846
1.48,19.62,13.748408
1.48,19.63,13.744977
1.48,19.64,13.741552
1.48,19.65,13.738133
1.48,19.66,13.734721
1.48,19.67,13.731315
1.48,19.68,13.727915
1.48,19.69,13.724522
1.48,19.7,13.721136
1.48,19.71,13.717756
1.48,19.72,13.714382
1.48,19.73,13.711015
1.48,19.74,13.707654
1.48,19.75,13.7043
1.48,19.76,13.700952
1.48,19.77,13.697611
1.48,19.78,13.694276
1.48,19.79,13.690948
1.48,19.8,13.687626
1.48,19.81,13.684311
1.48,19.82,13.681002
1.48,19.83,13.6777
1.48,19.84,13.674404
1.48,19.85,13.671115
1.48,19.86,13.667832
1.48,19.87,13.664556
1.48,19.88,13.661286
1.48,19.89,13.658023
1.48,19.9,13.654766
1.48,19.91,13.651516
1.48,19.92,13.648273
1.48,19.93,13.645036
1.48,19.94,13.641806
1.48,19.95,13.638582
1.48,19.96,13.635365
1.48,19.97,13.632154
1.48,19.98,13.62895
1.48,19.99,13.625753
1.48,20,13.622562
1.48,20.01,13.619377
1.48,20.02,13.6162
1.48,20.03,13.613029
1.48,20.04,13.609864
1.48,20.05,13.606706
1.48,20.06,13.603555
1.48,20.07,13.60041
1.48,20.08,13.597272
1.48,20.09,13.594141
1.48,20.1,13.591016
1.48,20.11,13.587898
1.48,20.12,13.584787
1.47,20.13,13.581451
1.47,20.14,13.577976
1.47,20.15,13.574507
1.47,20.16,13.571044
1.47,20.17,13.567588
1.47,20.18,13.564138
1.47,20.19,13.560695
1.47,20.2,13.557259
1.47,20.21,13.553829
1.47,20.22,13.550405
1.47,20.23,13.546988
1.47,20.24,13.543578
1.47,20.25,13.540174
1.47,20.26,13.536776
1.47,20.27,13.533385
1.47,20.28,13.530001
1.47,20.29,13.526623
1.47,20.3,13.523252
1.47,20.31,13.519887
1.47,20.32,13.516529
1.47,20.33,13.513178
1.47,20.34,13.509832
1.47,20.35,13.506494
1.47,20.36,13.503162
1.47,20.37,13.499837
1.47,20.38,13.496518
1.47,20.39,13.493206
1.47,20.4,13.489901
1.47,20.41,13.486602
1.47,20.42,13.48331
1.47,20.43,13.480024
1.47,20.44,13.476745
1.47,20.45,13.473472
1.47,20.46,13.470207
1.47,20.47,13.466947
1.47,20.48,13.463695
1.47,20.49,13.460449
1.47,20.5,13.45721
1.47,20.51,13.453977
1.47,20.52,13.450751
1.47,20.53,13.447532
1.47,20.54,13.44432
1.47,20.55,13.441114
1.47,20.56,13.437914
1.47,20.57,13.434722
1.47,20.58,13.431536
1.47,20.59,13.428357
1.47,20.6,13.425184
1.47,20.61,13.422019
1.47,20.62,13.41886
1.47,20.63,13.415707
1.47,20.64,13.412562
1.47,20.65,13.409423
1.47,20.66,13.40629
1.47,20.67,13.403165
1.47,20.68,13.400046
1.47,20.69,13.396934
1.47,20.7,13.393829
1.47,20.71,13.39073
1.47,20.72,13.387639
1.47,20.73,13.384554
1.47,20.74,13.381475
1.47,20.75,13.378404
1.47,20.76,13.375339
